title,budget,popularity,release_date,revenue,release_year,budget_milhoes,revenue_milhoes
Nicotina,0,5.003217,2003-09-08,0.0,2003,0.0,0.0
Iron Jawed Angels,0,9.771121,2004-01-16,0.0,2004,0.0,0.0
Evil,0,8.896421,2003-05-16,0.0,2003,0.0,0.0
Sniper 2,5000000,3.437664,2002-12-28,0.0,2002,5.0,0.0
High Roller: The Stu Ungar Story,0,0.888157,2003-05-01,0.0,2003,0.0,0.0
Battle Royale II: Requiem,9000000,7.500419,2003-07-05,0.0,2003,9.0,0.0
In Hell,0,5.255138,2003-11-24,0.0,2003,0.0,0.0
Lemony Snicket's A Series of Unfortunate Events,140000000,12.817945,2004-12-16,209073645.0,2004,140.0,209.07
Naked Weapon,0,1.689124,2002-11-15,0.0,2002,0.0,0.0
Bukowski - Born into This,0,1.205624,2003-01-18,0.0,2003,0.0,0.0
The Green Butchers,0,6.438965,2003-03-08,0.0,2003,0.0,0.0
Pearls and Pigs,0,0.480027,2003-08-29,0.0,2003,0.0,0.0
An Injury to One,0,0.04201,2002-09-09,0.0,2002,0.0,0.0
Addiction - When Nothing Is Enough,0,3.103836,2004-01-16,0.0,2004,0.0,0.0
A Very Long Engagement,47000000,10.896295,2004-10-26,0.0,2004,47.0,0.0
Last Life in the Universe,0,6.700563,2003-08-03,0.0,2003,0.0,0.0
The Galíndez File,0,0.9048,2003-09-26,0.0,2003,0.0,0.0
Head-On,0,10.234986,2004-03-11,11030861.0,2004,0.0,11.03
Ghost in the Shell 2: Innocence,0,9.377699,2004-03-06,9789651.0,2004,0.0,9.79
Kal Ho Naa Ho,0,5.584308,2003-11-27,13200241.0,2003,0.0,13.2
The Cat Returns,0,11.639023,2002-07-19,522911.0,2002,0.0,0.52
In My Country,12000000,1.14196,2004-05-04,163536.0,2004,12.0,0.16
Unstoppable,0,2.331514,2004-10-20,0.0,2004,0.0,0.0
Take My Eyes,0,5.557675,2003-10-08,0.0,2003,0.0,0.0
The Cathedral,0,0.903483,2002-10-18,0.0,2002,0.0,0.0
Blind Shaft,0,1.337977,2003-02-12,0.0,2003,0.0,0.0
The Twilight Samurai,5000000,4.281103,2002-11-02,7338987.0,2002,5.0,7.34
The Twins Effect,0,9.532044,2003-03-08,0.0,2003,0.0,0.0
Far Side of the Moon,0,0.90175,2003-09-09,0.0,2003,0.0,0.0
Facing Windows,0,3.701538,2003-02-27,15530077.0,2003,0.0,15.53
Ginger Snaps 2: Unleashed,0,3.523822,2004-01-30,0.0,2004,0.0,0.0
Salem's Lot,0,14.098705,2004-06-20,0.0,2004,0.0,0.0
Dark Woods,0,2.342872,2003-02-21,0.0,2003,0.0,0.0
Foolproof,8256269,7.474007,2003-10-03,460978.0,2003,8.26,0.46
Belly of the Beast,14000000,8.316548,2003-12-30,0.0,2003,14.0,0.0
"Easy Riders, Raging Bulls",0,6.268935,2003-03-09,0.0,2003,0.0,0.0
The Book of Fate,0,0.203204,2003-03-06,0.0,2003,0.0,0.0
When the Last Sword Is Drawn,0,2.525713,2003-01-18,0.0,2003,0.0,0.0
Comic Book: The Movie,0,0.590192,2004-01-27,0.0,2004,0.0,0.0
2LDK,0,0.723046,2003-10-04,0.0,2003,0.0,0.0
Trauma,0,5.221661,2004-09-17,0.0,2004,0.0,0.0
Intimate Strangers,0,6.91026,2004-02-05,0.0,2004,0.0,0.0
Down to the Bone,0,1.325494,2004-01-14,0.0,2004,0.0,0.0
A Talking Picture,0,0.502652,2003-08-31,0.0,2003,0.0,0.0
Ju-on: The Grudge,3500000,7.614692,2002-10-18,0.0,2002,3.5,0.0
Oldboy,3000000,10.616859,2003-01-01,14980005.0,2003,3.0,14.98
Red Lights,0,1.24105,2004-03-03,0.0,2004,0.0,0.0
GhostWatcher,0,0.173751,2002-10-19,0.0,2002,0.0,0.0
Ginger Snaps Back: The Beginning,0,2.522054,2004-07-10,0.0,2004,0.0,0.0
Moon Child,0,0.571698,2003-04-19,0.0,2003,0.0,0.0
Illusive Tracks,0,0.776818,2003-12-24,0.0,2003,0.0,0.0
The Black Lapp,0,1.095434,2003-04-11,0.0,2003,0.0,0.0
Lost Embrace,0,0.776863,2004-03-14,0.0,2004,0.0,0.0
One Missed Call,0,6.703174,2003-11-03,0.0,2003,0.0,0.0
Goldfish Memory,1200000,1.175971,2003-03-20,0.0,2003,1.2,0.0
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,0,1.243744,2002-12-22,0.0,2002,0.0,0.0
The Jacket,29000000,12.092096,2005-03-04,21126225.0,2005,29.0,21.13
Millions,0,4.66886,2005-04-08,6584159.0,2005,0.0,6.58
The Saddest Music in the World,0,1.308142,2003-09-17,0.0,2003,0.0,0.0
Starship Troopers 2: Hero of the Federation,7000000,12.348655,2004-04-20,0.0,2004,7.0,0.0
The Man Who Copied,0,3.954105,2003-06-13,0.0,2003,0.0,0.0
Ju-on: The Grudge 2,0,5.165962,2003-08-15,0.0,2003,0.0,0.0
Sex Lives of the Potato Men,0,1.42169,2004-02-20,0.0,2004,0.0,0.0
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,0,4.812815,2003-05-18,0.0,2003,0.0,0.0
Ong-Bak: The Thai Warrior,0,7.89916,2003-01-21,15.0,2003,0.0,0.0
Infernal Affairs II,0,6.505146,2003-10-01,0.0,2003,0.0,0.0
The Sea Inside,12806000,14.69768,2004-09-03,38535221.0,2004,12.81,38.54
Lucky 7,0,1.495753,2003-07-20,0.0,2003,0.0,0.0
Spanglish,80000000,11.202764,2004-12-17,55041367.0,2004,80.0,55.04
Buddy,0,1.322188,2003-08-29,0.0,2003,0.0,0.0
Festival Express,0,0.645771,2003-09-19,0.0,2003,0.0,0.0
The Chorus,0,14.758133,2004-03-17,0.0,2004,0.0,0.0
Saints and Soldiers,780000,7.975389,2003-09-11,0.0,2003,0.78,0.0
Just Bea,0,0.455098,2004-01-23,0.0,2004,0.0,0.0
The Weeping Camel,0,2.799536,2003-06-29,0.0,2003,0.0,0.0
The Interpreter,80000000,12.047671,2005-04-08,162944923.0,2005,80.0,162.94
Open Water,130000,10.652818,2004-08-06,54667954.0,2004,0.13,54.67
Romasanta,4500000,8.64362,2004-05-13,0.0,2004,4.5,0.0
Running on Karma,0,1.542607,2003-01-01,0.0,2003,0.0,0.0
Touch of Pink,0,1.062502,2004-07-16,0.0,2004,0.0,0.0
Infernal Affairs III,0,4.638465,2003-12-12,0.0,2003,0.0,0.0
The Memory Of A Killer,0,4.368257,2003-10-15,0.0,2003,0.0,0.0
Slasher,0,0.661724,2004-03-15,0.0,2004,0.0,0.0
Bobby Jones: Stroke of Genius,0,4.052084,2004-04-30,0.0,2004,0.0,0.0
Layer Cake,6500000,9.642214,2004-09-30,11850214.0,2004,6.5,11.85
Silver City,0,1.534733,2004-09-17,0.0,2004,0.0,0.0
The Return,0,4.507702,2003-06-25,0.0,2003,0.0,0.0
The Agronomist,0,0.250206,2003-09-21,0.0,2003,0.0,0.0
Flight of the Phoenix,45000000,15.434731,2004-12-17,21009180.0,2004,45.0,21.01
Mean Creek,500000,12.428269,2004-01-15,603943.0,2004,0.5,0.6
The Ring Two,50000000,16.15818,2005-03-17,161451538.0,2005,50.0,161.45
A Day Without a Mexican,0,1.50758,2004-08-06,0.0,2004,0.0,0.0
The Visual Bible: The Gospel of John,10000000,1.551648,2003-09-11,4069090.0,2003,10.0,4.07
Machuca,1500000,1.570908,2004-02-24,0.0,2004,1.5,0.0
The Corporation,0,4.192292,2003-09-10,4500000.0,2003,0.0,4.5
Game Over: Kasparov and the Machine,0,0.366087,2003-09-05,0.0,2003,0.0,0.0
Vibrator,0,0.525805,2003-12-06,0.0,2003,0.0,0.0
The Yes Men,0,2.647884,2003-09-07,0.0,2003,0.0,0.0
Ae Fond Kiss...,0,6.32444,2004-02-13,0.0,2004,0.0,0.0
Bummer,700000,1.400186,2003-08-02,1600000.0,2003,0.7,1.6
As It Is in Heaven,0,3.643125,2004-09-03,0.0,2004,0.0,0.0
Green Tea,0,0.262584,2003-08-18,0.0,2003,0.0,0.0
Lost Boys of Sudan,0,0.160637,2003-04-24,0.0,2003,0.0,0.0
She Hate Me,8000000,5.126696,2004-07-30,365134.0,2004,8.0,0.37
Azumi,0,6.415721,2003-05-10,0.0,2003,0.0,0.0
In My Father's Den,0,6.323198,2004-06-11,0.0,2004,0.0,0.0
The Football Factory,0,8.623333,2004-05-13,0.0,2004,0.0,0.0
Tae Guk Gi: The Brotherhood of War,0,9.140411,2004-02-05,15.0,2004,0.0,0.0
Something the Lord Made,0,3.260102,2004-05-30,0.0,2004,0.0,0.0
Metallica: Some Kind of Monster,0,3.446751,2004-01-21,0.0,2004,0.0,0.0
Going the Distance,0,2.554238,2004-08-19,0.0,2004,0.0,0.0
Redemption: The Stan Tookie Williams Story,0,2.63693,2004-03-03,0.0,2004,0.0,0.0
Schultze Gets the Blues,0,0.573946,2003-09-02,0.0,2003,0.0,0.0
Born into Brothels,350000,2.96237,2004-12-08,3515061.0,2004,0.35,3.52
Dig!,0,1.527551,2004-05-14,127067.0,2004,0.0,0.13
The Girl from Monday,0,1.396149,2005-01-01,0.0,2005,0.0,0.0
Riding Giants,2600000,2.203949,2004-07-09,3166000.0,2004,2.6,3.17
Dear Pillow,0,0.214455,2004-01-18,0.0,2004,0.0,0.0
Word Wars,0,0.549944,2004-05-28,0.0,2004,0.0,0.0
Cruel Intentions 3,0,3.319071,2004-05-25,0.0,2004,0.0,0.0
When Will I Be Loved,0,1.500214,2004-06-06,159429.0,2004,0.0,0.16
11:11,0,1.321883,2004-02-01,0.0,2004,0.0,0.0
Muxmäuschenstill,40000,0.338723,2004-01-28,0.0,2004,0.04,0.0
What the #$*! Do We (K)now!?,0,7.631049,2004-04-23,10000000.0,2004,0.0,10.0
The Eye 2,0,4.496225,2004-03-18,0.0,2004,0.0,0.0
A Scanner Darkly,8700000,11.643026,2006-05-25,7659918.0,2006,8.7,7.66
Casshern,6000000,4.664474,2004-04-24,1530216.0,2004,6.0,1.53
Windstruck,0,1.896423,2004-06-03,5331377.0,2004,0.0,5.33
Howard Zinn: You Can't Be Neutral on a Moving Train,0,0.935472,2004-06-18,0.0,2004,0.0,0.0
Outfoxed: Rupert Murdoch's War on Journalism,0,2.782194,2004-07-14,0.0,2004,0.0,0.0
"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire",0,0.225411,2004-09-10,0.0,2004,0.0,0.0
Fahrenhype 9/11,0,0.204169,2004-10-05,0.0,2004,0.0,0.0
Jerry Seinfeld: I'm Telling You for the Last Time,0,4.02254,1998-01-01,0.0,1998,0.0,0.0
Noel,0,3.100853,2004-11-12,0.0,2004,0.0,0.0
In Enemy Hands,5400000,3.401596,2005-04-15,0.0,2005,5.4,0.0
Sexual Dependency,0,0.381774,2003-08-31,0.0,2003,0.0,0.0
Chimes at Midnight,800,7.076799,1965-12-22,0.0,1965,0.0,0.0
Million Dollar Baby,30000000,14.471373,2004-12-15,216763646.0,2004,30.0,216.76
The Narrow Margin,0,1.733848,1952-05-03,0.0,1952,0.0,0.0
Hell Is for Heroes,0,3.062515,1962-06-26,0.0,1962,0.0,0.0
Vincent & Theo,0,0.919064,1990-12-02,0.0,1990,0.0,0.0
Some Came Running,0,1.796844,1958-12-18,0.0,1958,0.0,0.0
Gozu,0,4.995134,2003-07-11,0.0,2003,0.0,0.0
"Goodbye, Dragon Inn",0,0.929244,2003-08-29,0.0,2003,0.0,0.0
Hotel Rwanda,17500000,10.262332,2004-09-11,38000000.0,2004,17.5,38.0
The Mahabharata,334077,0.838039,1989-09-28,0.0,1989,0.33,0.0
Sitcom,0,1.800582,1998-05-27,0.0,1998,0.0,0.0
Born to Dance,0,0.370507,1936-11-27,0.0,1936,0.0,0.0
Travels with My Aunt,0,4.884367,1972-12-12,0.0,1972,0.0,0.0
Blood and Black Lace,0,5.54191,1964-03-13,0.0,1964,0.0,0.0
Hellraiser: Inferno,2000000,6.984609,2000-10-03,0.0,2000,2.0,0.0
Charlie and the Chocolate Factory,150000000,22.038405,2005-07-13,474968763.0,2005,150.0,474.97
Auggie Rose,0,1.091859,2000-05-14,0.0,2000,0.0,0.0
The Wrong Box,0,1.632505,1966-06-19,0.0,1966,0.0,0.0
3-Iron,0,12.949881,2004-10-15,0.0,2004,0.0,0.0
It  Happens Every Spring,0,0.208891,1949-06-10,0.0,1949,0.0,0.0
The Life Aquatic with Steve Zissou,50000000,6.936677,2004-12-10,34808403.0,2004,50.0,34.81
The Aviator,116000000,9.86738,2004-12-17,102000000.0,2004,116.0,102.0
The Phantom of the Opera,70000000,7.682562,2004-12-08,154648887.0,2004,70.0,154.65
Beyond the Sea,23000000,8.963653,2004-12-17,0.0,2004,23.0,0.0
The Woodsman,0,6.984903,2004-12-24,4678405.0,2004,0.0,4.68
In Good Company,0,7.684185,2004-12-29,0.0,2004,0.0,0.0
Meet the Fockers,80000000,11.876386,2004-12-22,516642939.0,2004,80.0,516.64
The Assassination of Richard Nixon,0,10.107677,2004-05-17,3537961.0,2004,0.0,3.54
A Love Song for Bobby Long,0,5.185771,2004-09-02,1841260.0,2004,0.0,1.84
The Merchant of Venice,0,13.220259,2004-09-03,0.0,2004,0.0,0.0
The River,0,0.839024,1997-08-27,0.0,1997,0.0,0.0
Rebels of the Neon God,0,0.64432,1993-02-01,0.0,1993,0.0,0.0
Captain Kidd,0,1.920595,1945-11-22,0.0,1945,0.0,0.0
Hold That Ghost,0,6.201988,1941-08-08,0.0,1941,0.0,0.0
Kamikaze Girls,0,4.365377,2004-05-29,0.0,2004,0.0,0.0
Fat Albert,0,6.765443,2004-12-12,0.0,2004,0.0,0.0
The Keys to the House,0,1.722948,2004-09-10,0.0,2004,0.0,0.0
In the Realms of the Unreal,0,1.33424,2004-01-01,0.0,2004,0.0,0.0
White Noise,10000000,6.143324,2005-01-07,91196419.0,2005,10.0,91.2
Underclassman,0,3.902766,2005-09-02,0.0,2005,0.0,0.0
The Upside of Anger,0,4.307106,2005-01-23,0.0,2005,0.0,0.0
Bomb the System,0,0.227369,2002-08-02,0.0,2002,0.0,0.0
Arrowhead,0,0.740172,1953-08-03,0.0,1953,0.0,0.0
The Grateful Dead,0,1.086537,1977-06-02,0.0,1977,0.0,0.0
Last Train from Gun Hill,0,2.597903,1959-07-29,0.0,1959,0.0,0.0
The Naked Jungle,0,1.914277,1954-03-03,0.0,1954,0.0,0.0
Who's the Caboose?,0,0.356685,1997-04-10,0.0,1997,0.0,0.0
A Handful of Dust,0,3.699787,1988-06-24,0.0,1988,0.0,0.0
The Pickle,0,0.911312,1993-04-30,0.0,1993,0.0,0.0
Wetherby,0,5.162757,1985-06-19,0.0,1985,0.0,0.0
Little Miss Marker,0,1.014961,1980-03-21,6321392.0,1980,0.0,6.32
Little Miss Marker,0,1.113736,1934-06-01,0.0,1934,0.0,0.0
Sweet Liberty,0,1.028354,1986-05-14,0.0,1986,0.0,0.0
Ghost River,0,0.156694,2002-09-04,0.0,2002,0.0,0.0
It's All True,0,0.001393,1993-10-17,0.0,1993,0.0,0.0
The Phantom of the Opera,10000000,0.441872,1990-03-18,0.0,1990,10.0,0.0
I Remember Mama,0,1.595121,1948-03-17,0.0,1948,0.0,0.0
The Last Horror Movie,0,1.49252,2004-06-25,0.0,2004,0.0,0.0
Testament,1500000,8.923953,1983-11-04,2044892.0,1983,1.5,2.04
Smooth Talk,0,3.312484,1985-11-17,0.0,1985,0.0,0.0
Distant Thunder,0,0.407729,1988-11-11,0.0,1988,0.0,0.0
Hell's Angels,3950000,5.276546,1930-11-15,8000000.0,1930,3.95,8.0
Daddy's Dyin'... Who's Got the Will?,0,0.284911,1990-05-04,1373728.0,1990,0.0,1.37
Jinxed!,0,0.019442,1982-10-22,0.0,1982,0.0,0.0
Out Cold,0,0.844348,1989-03-03,0.0,1989,0.0,0.0
Heart of America,3000000,0.290726,2002-09-05,0.0,2002,3.0,0.0
A Show of Force,0,0.655553,1990-05-11,0.0,1990,0.0,0.0
Son of Godzilla,0,1.925084,1967-12-16,0.0,1967,0.0,0.0
Man Trouble,30,0.83333,1992-07-17,4.0,1992,0.0,0.0
"The Yakuza Papers, Vol. 1: Battles Without Honor and Humanity",0,2.11911,1973-01-13,0.0,1973,0.0,0.0
Führer Ex,6854500,0.623881,2002-08-31,0.0,2002,6.85,0.0
Stander,0,7.839675,2003-01-01,31651.0,2003,0.0,0.03
Hester Street,0,0.528717,1975-10-19,0.0,1975,0.0,0.0
Mikey and Nicky,0,0.415597,1976-12-21,0.0,1976,0.0,0.0
The Bigamist,0,0.995928,1953-12-03,0.0,1953,0.0,0.0
Freedomfighters,0,0.668261,1996-04-19,0.0,1996,0.0,0.0
Imaginary Heroes,10000000,2.994171,2004-09-14,0.0,2004,10.0,0.0
Sergeant York,1400000,3.336494,1941-07-02,16361885.0,1941,1.4,16.36
Ruby & Quentin,27440000,9.306171,2003-10-22,0.0,2003,27.44,0.0
Deathwatch,0,4.766826,2002-10-06,2270658.0,2002,0.0,2.27
Madame Rosa,0,0.180579,1977-11-02,0.0,1977,0.0,0.0
Day of the Wacko,0,2.699622,2002-07-07,0.0,2002,0.0,0.0
Wizards,1200000,2.914738,1977-02-09,9000000.0,1977,1.2,9.0
For Love and Gold,0,1.851923,1966-04-07,1314230.0,1966,0.0,1.31
Heartlands,0,0.938316,2002-08-20,0.0,2002,0.0,0.0
Abbott and Costello Meet the Invisible Man,0,6.870281,1951-03-07,0.0,1951,0.0,0.0
Abbott and Costello Go to Mars,0,4.196009,1953-04-05,0.0,1953,0.0,0.0
"Abbott and Costello Meet the Killer, Boris Karloff",686,1.099256,1949-09-18,0.0,1949,0.0,0.0
The Life and Death of Peter Sellers,0,3.701781,2004-05-21,0.0,2004,0.0,0.0
The Badge,6000000,5.577591,2002-09-07,0.0,2002,6.0,0.0
Appleseed,10000000,8.278525,2004-04-17,1461989.0,2004,10.0,1.46
The Milky Way,0,2.031936,1969-03-15,0.0,1969,0.0,0.0
Pippi in the South Seas,0,3.723069,1970-01-24,0.0,1970,0.0,0.0
Pippi on the Run,0,3.017903,1970-11-13,0.0,1970,0.0,0.0
Puddle Cruiser,0,1.09859,1996-01-01,0.0,1996,0.0,0.0
The Stickup,0,0.448193,2002-02-01,0.0,2002,0.0,0.0
Elektra,43000000,13.802674,2005-01-13,56681566.0,2005,43.0,56.68
Racing Stripes,30000000,4.817052,2005-01-06,93772522.0,2005,30.0,93.77
Coach Carter,30000000,11.093737,2005-01-14,76669806.0,2005,30.0,76.67
The Fighting Sullivans,0,0.521396,1944-02-03,0.0,1944,0.0,0.0
Iceman,0,2.491724,1984-04-13,0.0,1984,0.0,0.0
Ice Station Zebra,0,4.03039,1968-10-23,0.0,1968,0.0,0.0
Lugares comunes,0,0.477275,2002-10-04,0.0,2002,0.0,0.0
Boys Town,0,1.437573,1938-09-09,0.0,1938,0.0,0.0
Torremolinos 73,0,8.721919,2003-04-29,1819410.0,2003,0.0,1.82
Zhou Yu's Train,0,0.885053,2002-08-01,0.0,2002,0.0,0.0
Shivers,179000,11.540666,1975-10-10,0.0,1975,0.18,0.0
A Star Is Born,6000000,2.447359,1976-12-16,161000000.0,1976,6.0,161.0
Beastmaster 2: Through the Portal of Time,6000000,4.038283,1991-06-08,869325.0,1991,6.0,0.87
Gold Diggers of 1935,0,1.384824,1935-03-14,0.0,1935,0.0,0.0
Rocco and His Brothers,0,4.21602,1960-10-06,0.0,1960,0.0,0.0
Strawberries in the Supermarket,0,1.099804,2003-02-06,0.0,2003,0.0,0.0
The Mortal Storm,0,1.680612,1940-06-14,0.0,1940,0.0,0.0
Once Upon a Honeymoon,0,1.806909,1942-11-27,0.0,1942,0.0,0.0
Monday Morning,0,0.51239,2002-01-01,0.0,2002,0.0,0.0
Christmas in July,0,1.282498,1940-10-18,0.0,1940,0.0,0.0
I Married a Witch,0,4.02032,1942-10-30,0.0,1942,0.0,0.0
The Mayor of Hell,229,0.873215,1933-06-24,0.0,1933,0.0,0.0
The Miracle Woman,0,0.93383,1931-07-17,0.0,1931,0.0,0.0
Moolaadé,0,0.759538,2004-08-04,214605.0,2004,0.0,0.21
This Girl's Life,0,5.192928,2004-12-03,0.0,2004,0.0,0.0
Memories of Murder,2800000,8.511453,2003-04-24,0.0,2003,2.8,0.0
The Chase,26000000,14.362544,1994-03-04,8009329.0,1994,26.0,8.01
Hobson's Choice,0,4.88449,1954-04-19,0.0,1954,0.0,0.0
Dr. Who and the Daleks,502318,2.187942,1965-08-23,0.0,1965,0.5,0.0
Summer Storm,2700000,3.894549,2004-09-02,0.0,2004,2.7,0.0
Downfall,18339750,7.69224,2004-09-08,92180910.0,2004,18.34,92.18
The White Sound,250000,3.10114,2001-12-31,0.0,2001,0.25,0.0
Assault on Precinct 13,30000000,11.552956,2005-01-19,35294470.0,2005,30.0,35.29
Are We There Yet?,32000000,9.756822,2005-01-20,97918663.0,2005,32.0,97.92
Alone in the Dark,20000000,5.871243,2005-01-28,10442808.0,2005,20.0,10.44
Hide and Seek,25000000,6.102059,2005-01-27,122644820.0,2005,25.0,122.64
Aliens of the Deep,0,1.924682,2005-01-21,0.0,2005,0.0,0.0
Boogeyman,20000000,9.704289,2005-02-04,67192859.0,2005,20.0,67.19
The Wedding Date,15000000,5.615303,2005-02-04,47175038.0,2005,15.0,47.18
Inside I'm Dancing,0,4.333887,2004-10-15,0.0,2004,0.0,0.0
Nobody Knows,0,5.196429,2004-08-07,0.0,2004,0.0,0.0
Employee of the Month,0,8.872053,2004-01-17,0.0,2004,0.0,0.0
Magic in the Water,0,1.496718,1995-08-30,0.0,1995,0.0,0.0
The Great White Hope,0,1.653084,1970-10-11,0.0,1970,0.0,0.0
A Study in Terror,0,1.02411,1965-10-01,0.0,1965,0.0,0.0
Everything about Mustafa,0,1.014129,2004-03-19,0.0,2004,0.0,0.0
The Professionals,0,5.032092,1966-11-01,0.0,1966,0.0,0.0
The Devil and Miss Jones,0,0.837091,1941-04-11,0.0,1941,0.0,0.0
Alice in Wonderland,21000000,8.614303,1999-02-28,0.0,1999,21.0,0.0
Everyday People,0,0.954568,2004-01-18,0.0,2004,0.0,0.0
Backflash,0,0.359651,2002-01-22,0.0,2002,0.0,0.0
Salem's Lot,4000000,9.582814,1979-11-17,0.0,1979,4.0,0.0
The Marriage of Maria Braun,0,2.617272,1979-02-20,0.0,1979,0.0,0.0
The Bitter Tears of Petra von Kant,0,2.077361,1972-10-05,0.0,1972,0.0,0.0
Beau Geste,112,3.004471,1939-07-24,0.0,1939,0.0,0.0
At Sword's Point,0,1.266891,1952-04-22,0.0,1952,0.0,0.0
Overnight,550,1.443607,2003-06-12,0.0,2003,0.0,0.0
Le Trou,0,5.828566,1960-03-18,0.0,1960,0.0,0.0
Lessons of Darkness,0,1.733134,1992-02-21,0.0,1992,0.0,0.0
Fata Morgana,0,1.08524,1971-06-04,0.0,1971,0.0,0.0
Double Dragon,3500000,5.190767,1994-11-04,2341309.0,1994,3.5,2.34
Mac and Me,0,4.433298,1988-08-12,5935269.0,1988,0.0,5.94
Scorchers,0,0.187811,1991-07-07,0.0,1991,0.0,0.0
Rosenstrasse,0,0.638808,2003-09-18,0.0,2003,0.0,0.0
Casque d'Or,0,4.715268,1952-04-16,0.0,1952,0.0,0.0
Touchez Pas au Grisbi,0,6.609106,1954-03-16,0.0,1954,0.0,0.0
The Matchmaker,0,0.167778,1958-08-12,0.0,1958,0.0,0.0
The Ballad of the Sad Cafe,0,0.877573,1991-03-28,184890.0,1991,0.0,0.18
The Deceivers,0,0.876297,1988-09-02,346297.0,1988,0.0,0.35
Siberia,0,0.399587,1998-08-27,0.0,1998,0.0,0.0
Purple Butterfly,0,0.191922,2003-05-22,0.0,2003,0.0,0.0
Easy,0,0.866653,2003-09-10,0.0,2003,0.0,0.0
El Cid,0,4.152069,1961-10-24,0.0,1961,0.0,0.0
Going All the Way,0,5.655387,1997-01-19,86175.0,1997,0.0,0.09
A Taxing Woman,0,0.757468,1987-02-07,0.0,1987,0.0,0.0
The Bunker,0,4.415318,2001-09-14,0.0,2001,0.0,0.0
A Fine Madness,0,0.25025,1966-06-29,0.0,1966,0.0,0.0
Reap the Wild Wind,0,1.076119,1942-03-18,0.0,1942,0.0,0.0
2009: Lost Memories,0,2.111875,2002-02-01,0.0,2002,0.0,0.0
The Architecture of Doom,0,0.022252,1989-10-13,0.0,1989,0.0,0.0
Inferno,1055000,2.290681,1953-08-12,0.0,1953,1.06,0.0
Howl's Moving Castle,24000000,16.136048,2004-11-19,234710455.0,2004,24.0,234.71
Steamboy,20000000,8.354775,2004-07-17,0.0,2004,20.0,0.0
Gorgeous,0,7.231256,1999-02-12,0.0,1999,0.0,0.0
The Blade,0,0.74515,1995-12-21,0.0,1995,0.0,0.0
Assisted Living,500,0.261278,2005-02-02,41.0,2005,0.0,0.0
The Nomi Song,0,0.468995,2004-03-23,0.0,2004,0.0,0.0
Hitch,70000000,13.35076,2005-02-10,368100420.0,2005,70.0,368.1
Pooh's Heffalump Movie,0,10.096263,2005-02-11,0.0,2005,0.0,0.0
Inside Deep Throat,2000000,3.21768,2005-02-11,653621.0,2005,2.0,0.65
Uncle Nino,0,0.026729,2003-12-05,0.0,2003,0.0,0.0
Bride & Prejudice,7000000,9.55791,2004-02-11,0.0,2004,7.0,0.0
Constantine,100000000,9.615691,2005-02-08,230884728.0,2005,100.0,230.88
Son of the Mask,84000000,6.512277,2005-02-18,0.0,2005,84.0,0.0
Because of Winn-Dixie,14000000,6.067722,2005-02-18,32645546.0,2005,14.0,32.65
Turtles Can Fly,0,3.281608,2005-01-07,0.0,2005,0.0,0.0
Beautiful Boxer,0,1.722765,2004-04-29,0.0,2004,0.0,0.0
Pauly Shore Is Dead,0,2.091305,2003-03-11,0.0,2003,0.0,0.0
Bunny Lake Is Missing,0,11.74416,1965-10-03,0.0,1965,0.0,0.0
Jeremy,0,0.492897,1973-01-01,0.0,1973,0.0,0.0
Don't Tell Her It's Me,0,1.924879,1990-09-21,0.0,1990,0.0,0.0
Until September,0,0.489054,1984-09-21,4100000.0,1984,0.0,4.1
Night and the City,0,11.80556,1950-04-01,0.0,1950,0.0,0.0
Frozen Land,2000000,1.418547,2005-01-14,0.0,2005,2.0,0.0
Big Girls Don't Cry,0,0.940276,2002-10-24,0.0,2002,0.0,0.0
White Banners,0,0.176742,1938-06-23,0.0,1938,0.0,0.0
Night Watch,4200000,8.803869,2004-06-27,32000000.0,2004,4.2,32.0
Dot the I,0,4.641037,2003-01-18,0.0,2003,0.0,0.0
Sister Helen,0,0.102117,2002-03-04,0.0,2002,0.0,0.0
Bright Leaves,0,0.351823,2004-04-28,0.0,2004,0.0,0.0
Topper Returns,0,1.000254,1941-03-21,0.0,1941,0.0,0.0
Sons of the Desert,0,4.305542,1933-12-29,0.0,1933,0.0,0.0
Morocco,0,1.691796,1930-11-14,0.0,1930,0.0,0.0
Surplus: Terrorized Into Being Consumers,0,0.341109,2003-11-21,0.0,2003,0.0,0.0
Man of the House,40000000,5.834626,2005-02-25,0.0,2005,40.0,0.0
Samson and Delilah,3000000,2.528638,1949-12-21,11500000.0,1949,3.0,11.5
Kung Fu Hustle,20000000,8.636632,2004-02-10,100914445.0,2004,20.0,100.91
Shark Skin Man and Peach Hip Girl,0,0.651725,1998-01-01,0.0,1998,0.0,0.0
The Five People You Meet In Heaven,0,3.299518,2004-12-05,0.0,2004,0.0,0.0
"No Retreat, No Surrender",0,8.900994,1986-05-02,4662137.0,1986,0.0,4.66
The ChubbChubbs!,0,1.859321,2002-07-03,0.0,2002,0.0,0.0
Travellers and Magicians,0,0.635804,2003-09-09,0.0,2003,0.0,0.0
Želary,0,2.059599,2003-09-04,0.0,2003,0.0,0.0
Dragonworld,0,0.311555,1994-08-01,0.0,1994,0.0,0.0
