Nome;Gênero;Cor_dos_olhos;Raça;Cor_do_cabelo;Altura_cm;Editora;Cor_da_pele;Alinhamento;Peso_kg;Altura_m;IMC
Snake-Eyes;Masculino;unknown;Animal;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Bird-Man;Masculino;unknown;Human;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Bird-Man II;Masculino;unknown;Human;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Junkpile;Masculino;unknown;Mutant;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Sebastian Shaw;Masculino;unknown;Mutant;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Spider-Carnage;Masculino;unknown;Symbiote;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Living Brain;Desconhecido;yellow;unknown;unknown;198.0;Marvel Comics;unknown;mau;360.0;1.98;91.82736455463728
Magus;Masculino;black;unknown;unknown;183.0;Marvel Comics;unknown;mau;112.25252525252525;1.83;33.519222805257016
Beetle;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Weapon XI;Masculino;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Destroyer;Masculino;unknown;unknown;unknown;188.0;Marvel Comics;unknown;mau;383.0;1.88;108.36351290176552
Ego;Desconhecido;unknown;unknown;unknown;186.72630560928434;Marvel Comics;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Elle Bishop;Feminino;blue;unknown;Blond;186.72630560928434;NBC - Heroes;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Luke Campbell;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Sylar;Masculino;unknown;unknown;unknown;186.72630560928434;NBC - Heroes;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Vegeta;Masculino;unknown;Saiyan;Black;168.0;Shueisha;unknown;mau;73.0;1.68;25.86451247165533
Chromos;Masculino;brown;unknown;Red / Grey;185.0;Team Epic TV;unknown;mau;86.0;1.85;25.127830533235937
Alex Mercer;Masculino;unknown;Human;unknown;186.72630560928434;Wildstorm;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Darkside;Desconhecido;unknown;unknown;unknown;186.72630560928434;unknown;unknown;mau;112.25252525252525;1.8672630560928434;32.194753944178736
Stephanie Powell;Feminino;unknown;unknown;Blond;186.72630560928434;ABC Studios;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Jim Powell;Masculino;unknown;unknown;unknown;186.72630560928434;ABC Studios;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
JJ Powell;Masculino;unknown;unknown;unknown;186.72630560928434;ABC Studios;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Daphne Powell;Feminino;unknown;unknown;unknown;186.72630560928434;ABC Studios;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Elastigirl;Feminino;brown;Human;Brown;168.0;Dark Horse Comics;unknown;bom;56.0;1.68;19.841269841269845
Jack-Jack;Masculino;blue;Human;Brown;71.0;Dark Horse Comics;unknown;bom;14.0;0.71;27.772267407260465
Buffy;Feminino;green;Human;Blond;157.0;Dark Horse Comics;unknown;bom;52.0;1.57;21.096190514828187
Mr Incredible;Masculino;blue;Human;Blond;201.0;Dark Horse Comics;unknown;bom;158.0;2.01;39.10794287270118
Dash;Masculino;blue;Human;Blond;122.0;Dark Horse Comics;unknown;bom;27.0;1.22;18.140284869658693
Hellboy;Masculino;gold;Demon;Black;259.0;Dark Horse Comics;unknown;bom;158.0;2.59;23.553614287205026
Violet Parr;Feminino;violet;Human;Black;137.0;Dark Horse Comics;unknown;bom;41.0;1.37;21.84453087537961
Captain Midnight;Masculino;unknown;Human;unknown;186.72630560928434;Dark Horse Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Angel;Masculino;unknown;Vampire;unknown;186.72630560928434;Dark Horse Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Johann Krauss;Masculino;unknown;unknown;unknown;186.72630560928434;Dark Horse Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Liz Sherman;Feminino;unknown;unknown;unknown;186.72630560928434;Dark Horse Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Krypto;Masculino;blue;Kryptonian;White;64.0;DC Comics;unknown;bom;18.0;0.64;43.9453125
Monarch;Masculino;blue;unknown;White;193.0;DC Comics;unknown;bom;90.0;1.93;24.161722462347985
Mera;Feminino;blue;Atlantean;Red;175.0;DC Comics;unknown;bom;72.0;1.75;23.510204081632654
Kid Flash;Masculino;green;Human;Red;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Citizen Steel;Masculino;green;Human;Red;183.0;DC Comics;unknown;bom;170.0;1.83;50.762937083818564
Ray;Masculino;green;Human;Red;178.0;DC Comics;unknown;bom;70.0;1.78;22.093170054286073
Red Arrow;Masculino;green;Human;Red;180.0;DC Comics;unknown;bom;83.0;1.8;25.61728395061728
Batwoman V;Feminino;green;Human;Red;178.0;DC Comics;unknown;bom;112.25252525252525;1.78;35.42877327752974
Batgirl;Feminino;green;Human;Red;170.0;DC Comics;unknown;bom;57.0;1.7;19.723183391003463
Robin II;Masculino;blue;Human;Red;183.0;DC Comics;unknown;bom;101.0;1.83;30.15915673803338
Rorschach;Masculino;blue;Human;Red;168.0;DC Comics;unknown;bom;63.0;1.68;22.321428571428577
Oracle;Feminino;blue;Human;Red;178.0;DC Comics;unknown;bom;59.0;1.78;18.621386188612547
Guy Gardner;Masculino;blue;HumanVuldarian;Red;188.0;DC Comics;unknown;bom;95.0;1.88;26.87867813490267
Miss Martian;Feminino;red;unknown;Red;178.0;DC Comics;unknown;bom;61.0;1.78;19.252619618735007
Hawkwoman;Feminino;green;unknown;Red;175.0;DC Comics;unknown;bom;54.0;1.75;17.632653061224488
Hawkgirl;Feminino;green;unknown;Red;175.0;DC Comics;unknown;bom;61.0;1.75;19.918367346938776
Lightning Lad;Masculino;blue;unknown;Red;155.0;DC Comics;unknown;bom;65.0;1.55;27.055150884495315
Atom;Masculino;blue;unknown;Red;178.0;DC Comics;unknown;bom;68.0;1.78;21.461936624163616
Elongated Man;Masculino;blue;unknown;Red;185.0;DC Comics;unknown;bom;80.0;1.85;23.37472607742878
Misfit;Feminino;blue;unknown;Red;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Light Lass;Feminino;blue;unknown;Red;165.0;DC Comics;unknown;bom;54.0;1.65;19.834710743801654
Hawkwoman III;Feminino;blue;unknown;Red;170.0;DC Comics;unknown;bom;65.0;1.7;22.49134948096886
Atom III;Masculino;unknown;unknown;Red;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Fighting Spirit;Feminino;unknown;unknown;Red;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Red Tornado;Masculino;green;Android;No Hair;185.0;DC Comics;unknown;bom;146.0;1.85;42.65887509130752
Sobek;Masculino;white;unknown;No Hair;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Steel;Masculino;brown;unknown;No Hair;201.0;DC Comics;unknown;bom;131.0;2.01;32.424939976733256
Black Lightning;Masculino;brown;unknown;No Hair;185.0;DC Comics;unknown;bom;90.0;1.85;26.296566837107374
Metamorpho;Masculino;black;unknown;No Hair;185.0;DC Comics;unknown;bom;90.0;1.85;26.296566837107374
Flash;Masculino;blue;Human;Brown / White;180.0;DC Comics;unknown;bom;81.0;1.8;25.0
Jessica Cruz;Feminino;green;Human;Brown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Speedy;Feminino;green;Human;Brown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Karate Kid;Masculino;brown;Human;Brown;173.0;DC Comics;unknown;bom;72.0;1.73;24.0569347455645
Hal Jordan;Masculino;brown;Human;Brown;188.0;DC Comics;unknown;bom;90.0;1.88;25.46401086464464
Hawk;Masculino;red;unknown;Brown;185.0;DC Comics;unknown;bom;89.0;1.85;26.004382761139514
Triplicate Girl;Feminino;purple;unknown;Brown;168.0;DC Comics;unknown;bom;59.0;1.68;20.904195011337873
Micro Lad;Masculino;grey;unknown;Brown;183.0;DC Comics;unknown;bom;77.0;1.83;22.99262444384723
Osiris;Masculino;brown;unknown;Brown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Blue Beetle;Masculino;blue;unknown;Brown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Blue Beetle II;Masculino;blue;unknown;Brown;183.0;DC Comics;unknown;bom;86.0;1.83;25.680074054167036
Hawkman;Masculino;blue;unknown;Brown;185.0;DC Comics;unknown;bom;88.0;1.85;25.712198685171657
Aquaman;Masculino;blue;Atlantean;Blond;185.0;DC Comics;unknown;bom;146.0;1.85;42.65887509130752
Wonder Girl;Feminino;blue;DemiGod;Blond;165.0;DC Comics;unknown;bom;51.0;1.65;18.73278236914601
Green Arrow;Masculino;green;Human;Blond;188.0;DC Comics;unknown;bom;88.0;1.88;24.898143956541425
Rip Hunter;Masculino;blue;Human;Blond;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
John Constantine;Masculino;blue;Human;Blond;183.0;DC Comics;unknown;bom;112.25252525252525;1.83;33.519222805257016
Animal Man;Masculino;blue;Human;Blond;183.0;DC Comics;unknown;bom;83.0;1.83;24.78425751739377
Question;Masculino;blue;Human;Blond;188.0;DC Comics;unknown;bom;83.0;1.88;23.48347668628339
Flash II;Masculino;blue;Human;Blond;183.0;DC Comics;unknown;bom;88.0;1.83;26.27728507868255
Adam Strange;Masculino;blue;Human;Blond;185.0;DC Comics;unknown;bom;88.0;1.85;25.712198685171657
Doctor Fate;Masculino;blue;Human;Blond;188.0;DC Comics;unknown;bom;89.0;1.88;25.18107741059303
Booster Gold;Masculino;blue;Human;Blond;196.0;DC Comics;unknown;bom;97.0;1.96;25.249895876718035
Enchantress;Feminino;blue;Human;Blond;168.0;DC Comics;unknown;bom;57.0;1.68;20.19557823129252
Black Canary;Feminino;blue;Human;Blond;165.0;DC Comics;unknown;bom;58.0;1.65;21.30394857667585
Stargirl;Feminino;blue;Human;Blond;165.0;DC Comics;unknown;bom;62.0;1.65;22.77318640955005
Supergirl;Feminino;blue;Kryptonian;Blond;165.0;DC Comics;unknown;bom;54.0;1.65;19.834710743801654
Power Girl;Feminino;blue;Kryptonian;blond;180.0;DC Comics;unknown;bom;81.0;1.8;25.0
Brainiac 5;Masculino;green;unknown;Blond;170.0;DC Comics;unknown;bom;61.0;1.7;21.107266435986162
Aquababy;Masculino;blue;unknown;Blond;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Magog;Masculino;blue;unknown;Blond;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Alan Scott;Masculino;blue;unknown;Blond;180.0;DC Comics;unknown;bom;90.0;1.8;27.777777777777775
Batgirl VI;Feminino;blue;unknown;Blond;168.0;DC Comics;unknown;bom;61.0;1.68;21.612811791383223
Donna Troy;Feminino;blue;Amazon;Black;175.0;DC Comics;unknown;bom;63.0;1.75;20.571428571428573
Wonder Woman;Feminino;blue;Amazon;Black;183.0;DC Comics;unknown;bom;74.0;1.83;22.096807907073963
Aqualad;Masculino;blue;Atlantean;Black;178.0;DC Comics;unknown;bom;106.0;1.78;33.45537179649034
Cyborg;Masculino;brown;Cyborg;Black;198.0;DC Comics;unknown;bom;173.0;1.98;44.12815018875625
Kyle Rayner;Masculino;green;Human;Black;180.0;DC Comics;unknown;bom;79.0;1.8;24.382716049382715
John Stewart;Masculino;green;Human;Black;185.0;DC Comics;unknown;bom;90.0;1.85;26.296566837107374
Batgirl IV;Feminino;green;Human;Black;165.0;DC Comics;unknown;bom;52.0;1.65;19.100091827364558
Catwoman;Feminino;green;Human;Black;175.0;DC Comics;unknown;bom;61.0;1.75;19.918367346938776
Azrael;Masculino;brown;Human;Black;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Blue Beetle III;Masculino;brown;Human;Black;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Vibe;Masculino;brown;Human;Black;178.0;DC Comics;unknown;bom;71.0;1.78;22.408786769347305
Bumblebee;Feminino;brown;Human;Black;170.0;DC Comics;unknown;bom;59.0;1.7;20.41522491349481
Simon Baz;Masculino;bown;Human;Black;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Captain Marvel;Masculino;blue;Human;Black;193.0;DC Comics;unknown;bom;101.0;1.93;27.114821874412737
Robin V;Masculino;blue;Human;Black;137.0;DC Comics;unknown;bom;38.0;1.37;20.24615056742501
Red Robin;Masculino;blue;Human;Black;165.0;DC Comics;unknown;bom;56.0;1.65;20.569329660238754
Robin III;Masculino;blue;Human;Black;165.0;DC Comics;unknown;bom;56.0;1.65;20.569329660238754
Alfred Pennyworth;Masculino;blue;Human;Black;178.0;DC Comics;unknown;bom;72.0;1.78;22.724403484408533
Captain Marvel II;Masculino;blue;Human;Black;175.0;DC Comics;unknown;bom;74.0;1.75;24.163265306122447
Batman;Masculino;blue;Human;Black;178.0;DC Comics;unknown;bom;77.0;1.78;24.302487059714682
Batman II;Masculino;blue;Human;Black;178.0;DC Comics;unknown;bom;79.0;1.78;24.933720489837143
Nightwing;Masculino;blue;Human;Black;178.0;DC Comics;unknown;bom;79.0;1.78;24.933720489837143
Robin;Masculino;blue;Human;Black;178.0;DC Comics;unknown;bom;79.0;1.78;24.933720489837143
Plastic Man;Masculino;blue;Human;Black;185.0;DC Comics;unknown;bom;80.0;1.85;23.37472607742878
Deadman;Masculino;blue;Human;Black;183.0;DC Comics;unknown;bom;90.0;1.83;26.874496103198062
Zatanna;Feminino;blue;Human;Black;170.0;DC Comics;unknown;bom;57.0;1.7;19.723183391003463
Vixen;Feminino;amber;Human;Black;175.0;DC Comics;unknown;bom;63.0;1.75;20.571428571428573
Kevin 11;Masculino;unknown;Human;Black;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Superman;Masculino;blue;Kryptonian;Black;191.0;DC Comics;unknown;bom;101.0;1.91;27.685644582111237
Static;Masculino;brown;Mutant;Black;170.0;DC Comics;unknown;bom;63.0;1.7;21.79930795847751
Firestorm;Masculino;brown;unknown;Black;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Atom IV;Masculino;brown;unknown;Black;186.72630560928434;DC Comics;unknown;bom;72.0;1.8672630560928434;20.650068038702965
Superboy;Masculino;blue;unknown;Black;170.0;DC Comics;unknown;bom;68.0;1.7;23.529411764705884
Metron;Masculino;blue;unknown;Black;185.0;DC Comics;unknown;bom;86.0;1.85;25.127830533235937
Phantom Girl;Feminino;blue;unknown;Black;168.0;DC Comics;unknown;bom;54.0;1.68;19.13265306122449
Huntress;Feminino;blue;unknown;Black;180.0;DC Comics;unknown;bom;59.0;1.8;18.209876543209877
Atom Girl;Feminino;black;unknown;Black;168.0;DC Comics;unknown;bom;54.0;1.68;19.13265306122449
Flash IV;Masculino;yellow;Human;Auburn;157.0;DC Comics;unknown;bom;52.0;1.57;21.096190514828187
Impulse;Masculino;yellow;Human;Auburn;170.0;DC Comics;unknown;bom;65.0;1.7;22.49134948096886
Atom II;Masculino;brown;Human;Auburn;183.0;DC Comics;unknown;bom;81.0;1.83;24.187046492878256
Arsenal;Masculino;unknown;Human;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Bushido;Masculino;unknown;Human;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Space Ghost;Masculino;unknown;Human;unknown;188.0;DC Comics;unknown;bom;113.0;1.88;31.9714803078316
Flash III;Masculino;unknown;Human;unknown;183.0;DC Comics;unknown;bom;86.0;1.83;25.680074054167036
Jesse Quick;Feminino;unknown;Human;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Garbage Man;Masculino;unknown;Mutant;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Mogo;Masculino;unknown;Planet;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Aztar;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Ben 10;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Colossal Boy;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
ERG-1;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Kid Flash II;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Nite Owl II;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Offspring;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Phantom;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Plastic Lad;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Wildfire;Masculino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Batgirl III;Feminino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Batgirl V;Feminino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Hawkwoman II;Feminino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Isis;Feminino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Shrinking Violet;Feminino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Silk Spectre;Feminino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Silk Spectre II;Feminino;unknown;unknown;unknown;186.72630560928434;DC Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Rey;Feminino;hazel;Human;Brown;297.0;George Lucas;unknown;bom;112.25252525252525;2.97;12.725745134002791
Jyn Erso;Feminino;green;Human;Brown;186.72630560928434;George Lucas;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Han Solo;Masculino;brown;Human;Brown;183.0;George Lucas;unknown;bom;79.0;1.83;23.589835468362743
Luke Skywalker;Masculino;blue;Human;Blond;168.0;George Lucas;unknown;bom;77.0;1.68;27.281746031746035
Indiana Jones;Masculino;unknown;Human;unknown;183.0;George Lucas;unknown;bom;79.0;1.83;23.589835468362743
Birdman;Masculino;unknown;God / Eternal;unknown;186.72630560928434;Hanna-Barbera;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Colin Wagner;Masculino;grey;unknown;Brown;186.72630560928434;HarperCollins;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Danny Cooper;Masculino;brown;unknown;Blond;186.72630560928434;HarperCollins;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Quantum;Masculino;unknown;unknown;unknown;186.72630560928434;HarperCollins;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Titan;Masculino;unknown;unknown;unknown;186.72630560928434;HarperCollins;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Energy;Feminino;unknown;unknown;unknown;186.72630560928434;HarperCollins;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Renata Soliz;Feminino;unknown;unknown;unknown;186.72630560928434;HarperCollins;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Kick-Ass;Masculino;blue;Human;Blond;186.72630560928434;Icon Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Hit-Girl;Feminino;unknown;Human;unknown;186.72630560928434;Icon Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Big Daddy;Masculino;unknown;unknown;unknown;186.72630560928434;Icon Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Spawn;Masculino;brown;Demon;Black;211.0;Image Comics;unknown;bom;405.0;2.11;90.9683070910357
Savage Dragon;Masculino;unknown;unknown;unknown;186.72630560928434;Image Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Harry Potter;Masculino;green;Human;Black;186.72630560928434;J. K. Rowling;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Firelord;Desconhecido;white;unknown;Yellow;193.0;Marvel Comics;unknown;bom;99.0;1.93;26.577894708582782
Howard the Duck;Masculino;brown;unknown;Yellow;79.0;Marvel Comics;unknown;bom;18.0;0.79;28.841531805800347
Odin;Masculino;blue;God / Eternal;White;206.0;Marvel Comics;unknown;bom;293.0;2.06;69.04515034404751
Cable;Masculino;blue;Mutant;White;203.0;Marvel Comics;unknown;bom;158.0;2.03;38.34113907156205
Storm;Feminino;blue;Mutant;White;180.0;Marvel Comics;unknown;bom;57.0;1.8;17.59259259259259
Frigga;Feminino;blue;unknown;White;180.0;Marvel Comics;unknown;bom;167.0;1.8;51.54320987654321
Beak;Masculino;black;unknown;White;175.0;Marvel Comics;unknown;bom;63.0;1.75;20.571428571428573
Clea;Desconhecido;unknown;unknown;White;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Banshee;Masculino;green;Human;Strawberry Blond;183.0;Marvel Comics;unknown;bom;77.0;1.83;22.99262444384723
Yellowjacket II;Feminino;blue;Human;Strawberry Blond;165.0;Marvel Comics;unknown;bom;52.0;1.65;19.100091827364558
Crimson Crusader;Masculino;blue;unknown;Strawberry Blond;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Vagabond;Feminino;blue;unknown;Strawberry Blond;168.0;Marvel Comics;unknown;bom;54.0;1.68;19.13265306122449
Quicksilver;Masculino;blue;Mutant;Silver;183.0;Marvel Comics;unknown;bom;79.0;1.83;23.589835468362743
Vertigo II;Feminino;blue;unknown;Silver;168.0;Marvel Comics;unknown;bom;52.0;1.68;18.42403628117914
Songbird;Feminino;green;unknown;Red / White;165.0;Marvel Comics;unknown;bom;65.0;1.65;23.875114784205696
Hyperion;Masculino;blue;Eternal;Red;183.0;Marvel Comics;unknown;bom;207.0;1.83;61.81134103735554
Vindicator;Feminino;green;Human;Red;165.0;Marvel Comics;unknown;bom;54.0;1.65;19.834710743801654
Daredevil;Masculino;blue;Human;Red;183.0;Marvel Comics;unknown;bom;90.0;1.83;26.874496103198062
Hellcat;Feminino;blue;Human;Red;173.0;Marvel Comics;unknown;bom;61.0;1.73;20.381569714992146
Crystal;Feminino;green;Inhuman;Red;168.0;Marvel Comics;unknown;bom;50.0;1.68;17.71541950113379
Medusa;Feminino;green;Inhuman;Red;180.0;Marvel Comics;unknown;bom;59.0;1.8;18.209876543209877
Jean Grey;Feminino;green;Mutant;Red;168.0;Marvel Comics;unknown;bom;52.0;1.68;18.42403628117914
Phoenix;Feminino;green;Mutant;Red;168.0;Marvel Comics;unknown;bom;52.0;1.68;18.42403628117914
Firestar;Feminino;green;Mutant;Red;173.0;Marvel Comics;unknown;bom;56.0;1.73;18.710949246550168
Hellstorm;Masculino;red;unknown;Red;185.0;Marvel Comics;unknown;bom;81.0;1.85;23.66691015339664
Thundra;Feminino;green;unknown;Red;218.0;Marvel Comics;unknown;bom;158.0;2.18;33.24635973402912
Hope Summers;Feminino;green;unknown;Red;168.0;Marvel Comics;unknown;bom;48.0;1.68;17.006802721088437
Marvel Girl;Feminino;green;unknown;Red;170.0;Marvel Comics;unknown;bom;56.0;1.7;19.377162629757787
Shatterstar;Masculino;brown;unknown;Red;191.0;Marvel Comics;unknown;bom;88.0;1.91;24.12214577451276
Hollow;Feminino;blue;unknown;Red;170.0;Marvel Comics;unknown;bom;112.25252525252525;1.7;38.841704239628115
Ms Marvel II;Feminino;blue;unknown;Red;173.0;Marvel Comics;unknown;bom;61.0;1.73;20.381569714992146
Psylocke;Feminino;blue;Mutant;Purple;180.0;Marvel Comics;unknown;bom;70.0;1.8;21.604938271604937
Ariel;Feminino;purple;unknown;Pink;165.0;Marvel Comics;unknown;bom;59.0;1.65;21.6712580348944
Feral;Desconhecido;yellow (without irises);unknown;Orange / White;175.0;Marvel Comics;unknown;bom;50.0;1.75;16.3265306122449
Sasquatch;Masculino;red;unknown;Orange;305.0;Marvel Comics;unknown;bom;900.0;3.05;96.74818597151305
Ghost Rider;Masculino;red;Demon;No Hair;188.0;Marvel Comics;unknown;bom;99.0;1.88;28.010411951109102
A-Bomb;Masculino;yellow;Human;No Hair;203.0;Marvel Comics;unknown;bom;441.0;2.03;107.01545778834723
Thing;Masculino;blue;Human / Radiation;No Hair;183.0;Marvel Comics;unknown;bom;225.0;1.83;67.18624025799515
She-Thing;Feminino;blue;Human / Radiation;No Hair;183.0;Marvel Comics;unknown;bom;153.0;1.83;45.6866433754367
Bishop;Masculino;brown;Mutant;No Hair;198.0;Marvel Comics;unknown;bom;124.0;1.98;31.62942556881951
Ink;Masculino;blue;Mutant;No Hair;180.0;Marvel Comics;unknown;bom;81.0;1.8;25.0
Professor X;Masculino;blue;Mutant;No Hair;183.0;Marvel Comics;unknown;bom;86.0;1.83;25.680074054167036
Bloodhawk;Masculino;black;Mutant;No Hair;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Morph;Masculino;white;unknown;No Hair;178.0;Marvel Comics;unknown;bom;79.0;1.78;24.933720489837143
Vision II;Desconhecido;red;unknown;No Hair;191.0;Marvel Comics;unknown;bom;135.0;1.91;37.00556454044571
Crimson Dynamo;Masculino;brown;unknown;No Hair;180.0;Marvel Comics;unknown;bom;104.0;1.8;32.098765432098766
Blaquesmith;Desconhecido;black;unknown;No Hair;186.72630560928434;Marvel Comics;unknown;bom;112.25252525252525;1.8672630560928434;32.194753944178736
Beta Ray Bill;Masculino;unknown;unknown;No Hair;201.0;Marvel Comics;unknown;bom;216.0;2.01;53.464023167743385
Nightcrawler;Masculino;yellow;unknown;Indigo;175.0;Marvel Comics;unknown;bom;88.0;1.75;28.73469387755102
Deathlok;Masculino;brown;Cyborg;Grey;193.0;Marvel Comics;unknown;bom;178.0;1.93;47.78651775886601
Franklin Storm;Desconhecido;blue;unknown;Grey;188.0;Marvel Comics;unknown;bom;92.0;1.88;26.029877772747852
